date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:58	15568/15568	---M--	200	added ('OK')	image/jpeg	etag:W/%223cd0-172ee6c9a09%22	https://nurui.fueko.net/content/images/2018/12/nathan-anderson-111800.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2018/12/nathan-anderson-111800.jpg	(from https://nurui.fueko.net/authors/)
21:38:59	11647/11647	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222d7f-tDd7BZPotRejqoQKmIRZRZ1KMGw%22	https://nurui.fueko.net/404/	D:/Coding/my%20websites/nurui/nurui.fueko.net/404/index.html	(from https://nurui.fueko.net/features/)
21:38:59	35862/35862	---M--	200	added ('OK')	image/jpeg	etag:W/%228c16-172ee6c9a0d%22	https://nurui.fueko.net/content/images/2018/12/toa-heftiba-547030-unsplash.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2018/12/toa-heftiba-547030-unsplash.jpg	(from https://nurui.fueko.net/authors/)
21:38:59	52578/52578	---M--	200	added ('OK')	image/jpeg	etag:W/%22cd62-172ee6c9a09%22	https://nurui.fueko.net/content/images/2018/12/marat-gilyadzinov-417074.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2018/12/marat-gilyadzinov-417074.jpg	(from https://nurui.fueko.net/authors/)
21:38:59	9300/9300	---M--	200	added ('OK')	image/jpeg	etag:W/%222454-172ee6c9a09%22	https://nurui.fueko.net/content/images/2018/12/alfonso-castro-130696-unsplash.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2018/12/alfonso-castro-130696-unsplash.jpg	(from https://nurui.fueko.net/authors/)
21:39:00	52203/52203	---M--	200	added ('OK')	image/jpeg	etag:W/%22cbeb-172ee6c9a0d%22	https://nurui.fueko.net/content/images/2019/09/linkedin-sales-navigator-403994-unsplash.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2019/09/linkedin-sales-navigator-403994-unsplash.jpg	(from https://nurui.fueko.net/authors/)
21:39:46	24686/24686	---MCZ	200	added ('OK')	text/html	etag:W/%22606e-88By3zxfbW/UMdqcTWQS6seU0K0%22	https://nurui.fueko.net/architecture-is-a-visual-art-and-the-buildings-speak-for-themselves/	D:/Coding/my%20websites/nurui/nurui.fueko.net/architecture-is-a-visual-art-and-the-buildings-speak-for-themselves/index.html	(from https://nurui.fueko.net/author/sean/)
21:39:46	26123/26123	---MCZ	200	added ('OK')	text/html	etag:W/%22660b-/Ftdu846btShtziDHO0t0F0hKp0%22	https://nurui.fueko.net/you-have-to-fight-to-reach-your-dream/	D:/Coding/my%20websites/nurui/nurui.fueko.net/you-have-to-fight-to-reach-your-dream/index.html	(from https://nurui.fueko.net/author/james/)
21:39:46	24177/24177	---MCZ	200	added ('OK')	text/html	etag:W/%225e71-sqZcCcgYZ3RqkaYyH5pAe2fdTJc%22	https://nurui.fueko.net/i-love-japan-and-tokyo-is-my-favorite-city/	D:/Coding/my%20websites/nurui/nurui.fueko.net/i-love-japan-and-tokyo-is-my-favorite-city/index.html	(from https://nurui.fueko.net/author/james/)
21:39:46	25664/25664	---MCZ	200	added ('OK')	text/html	etag:W/%226440-6t1YlafBOuWJmBJyuBnLBYcyKMQ%22	https://nurui.fueko.net/when-you-are-on-your-way-to-home/	D:/Coding/my%20websites/nurui/nurui.fueko.net/when-you-are-on-your-way-to-home/index.html	(from https://nurui.fueko.net/author/marcos/)
21:39:48	40307/40307	---M--	200	added ('OK')	image/jpeg	etag:W/%229d73-172ee6c9a09%22	https://nurui.fueko.net/content/images/2018/12/mike-wilson-188133.jpg	D:/Coding/my%20websites/nurui/nurui.fueko.net/content/images/2018/12/mike-wilson-188133.jpg	(from https://nurui.fueko.net/author/margaret/)
21:39:49	25133/25133	---MCZ	200	added ('OK')	text/html	etag:W/%22622d-fbUL6aiU2wMDeo++6CttT4ogKa8%22	https://nurui.fueko.net/a-mind-cannot-be-independent-of-culture/	D:/Coding/my%20websites/nurui/nurui.fueko.net/a-mind-cannot-be-independent-of-culture/index.html	(from https://nurui.fueko.net/author/margaret/)
21:39:50	17915/17915	---MCZ	200	added ('OK')	text/html	etag:W/%2245fb-aBT8AN7m4Iq0NxhbkJSYtOR82Fs%22	https://nurui.fueko.net/tag/story/page/2/	D:/Coding/my%20websites/nurui/nurui.fueko.net/tag/story/page/2/index.html	(from https://nurui.fueko.net/tag/story/)
